DTXSID,PREFERRED NAME,CASRN,INCHIKEY,IUPAC NAME,SMILES,INCHI STRING,MOLECULAR FORMULA,AVERAGE MASS,MONOISOTOPIC MASS,# of SOURCES,# OF PUBMED ARTICLES,PUBCHEM DATA SOURCES,CPDAT COUNT,QC Level,# ToxCast Active,% ToxCast Active,Total Assays
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8034798,Paraformaldehyde,30525-89-4,,,,,,, ,88,625,,43,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID6020690,Hexachlorophene,70-30-4,ACGUYXCXAPNIKK-UHFFFAOYSA-N,"2,2'-Methylenebis(3,4,6-trichlorophenol)",OC1=C(CC2=C(Cl)C(Cl)=CC(Cl)=C2O)C(Cl)=C(Cl)C=C1Cl,"InChI=1S/C13H6Cl6O2/c14-6-2-8(16)12(20)4(10(6)18)1-5-11(19)7(15)3-9(17)13(5)21/h2-3,20-21H,1H2",C13H6Cl6O2,406.89,403.849896,199,3351,180,23,1,316/714,44.0,714
https://comptox.epa.gov/dashboard/chemical/details/DTXSID6075011,Magnesium trichloroacetate,16094-02-3,YMNRJYYHNXITFZ-UHFFFAOYSA-L,Magnesium bis(trichloroacetate),[Mg++].[O-]C(=O)C(Cl)(Cl)Cl.[O-]C(=O)C(Cl)(Cl)Cl,"InChI=1S/2C2HCl3O2.Mg/c2*3-2(4,5)1(6)7;/h2*(H,6,7);/q;;+2/p-2",C4Cl6MgO4,349.05,345.777816,17,,14,,3, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2044181,Ghatti gum,9000-28-6,,,,,,, ,45,26,,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID20867839,"1,1,1-Trichlorotridecan-2-one",69633-05-2,BPNOXHDBIHCEMC-UHFFFAOYSA-N,"1,1,1-Trichlorotridecan-2-one",CCCCCCCCCCCC(=O)C(Cl)(Cl)Cl,"InChI=1S/C13H23Cl3O/c1-2-3-4-5-6-7-8-9-10-11-12(17)13(14,15)16/h2-11H2,1H3",C13H23Cl3O,301.68,300.081449,21,,7,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1059571,Zinc phenolsulfonate,127-82-2,ZNVKGUVDRSSWHV-UHFFFAOYSA-L,Zinc bis(4-hydroxybenzene-1-sulfonate),[Zn++].OC1=CC=C(C=C1)S([O-])(=O)=O.OC1=CC=C(C=C1)S([O-])(=O)=O,"InChI=1S/2C6H6O4S.Zn/c2*7-5-1-3-6(4-2-5)11(8,9)10;/h2*1-4,7H,(H,8,9,10);/q;;+2/p-2",C12H10O8S2Zn,411.7,409.910852,61,,32,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2037502,Bitertanol,55179-31-2,VGPIBGGRCVEHQZ-UHFFFAOYSA-N,"1-[([1,1'-Biphenyl]-4-yl)oxy]-3,3-dimethyl-1-(1H-1,2,4-triazol-1-yl)butan-2-ol",CC(C)(C)C(O)C(OC1=CC=C(C=C1)C1=CC=CC=C1)N1C=NC=N1,"InChI=1/C20H23N3O2/c1-20(2,3)18(24)19(23-14-21-13-22-23)25-17-11-9-16(10-12-17)15-7-5-4-6-8-15/h4-14,18-19,24H,1-3H3",C20H23N3O2,337.423,337.179027,124,9,72,,1,120/514,23.0,514
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2075009,Phenmedipham-ethyl,13684-44-1,MVEFZZKZBYQFPP-UHFFFAOYSA-N,3-[(Ethoxycarbonyl)amino]phenyl (3-methylphenyl)carbamate (non-preferred name),CCOC(=O)NC1=CC=CC(OC(=O)NC2=CC=CC(C)=C2)=C1,"InChI=1S/C17H18N2O4/c1-3-22-16(20)18-14-8-5-9-15(11-14)23-17(21)19-13-7-4-6-12(2)10-13/h4-11H,3H2,1-2H3,(H,18,20)(H,19,21)",C17H18N2O4,314.341,314.126657,20,,27,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2075005,Tripropindan,6682-77-5,IHSBKMBNDURWAT-UHFFFAOYSA-N,"1-[1,1,4-Trimethyl-6-(propan-2-yl)-2,3-dihydro-1H-inden-5-yl]propan-1-one",CCC(=O)C1=C(C)C2=C(C=C1C(C)C)C(C)(C)CC2,"InChI=1S/C18H26O/c1-7-16(19)17-12(4)13-8-9-18(5,6)15(13)10-14(17)11(2)3/h10-11H,7-9H2,1-6H3",C18H26O,258.405,258.198365,16,,13,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID7041336,"2,4,5-Trichlorophenol sodium salt",136-32-3,KWFOMJTYKROHLX-UHFFFAOYSA-M,"Sodium 2,4,5-trichlorophenolate",[Na+].[O-]C1=C(Cl)C=C(Cl)C(Cl)=C1,"InChI=1S/C6H3Cl3O.Na/c7-3-1-5(9)6(10)2-4(3)8;/h1-2,10H;/q;+1/p-1",C6H2Cl3NaO,219.42,217.906892,57,87,51,,1,37/235,16.0,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3032412,Imazamethabenz-methyl,81405-85-8,,,"C*.COC(=O)C1=C(C=CC=C1)C1=NC(=O)C(C)(N1)C(C)C |c:7,9,t:5,12,lp:3:2,5:2,13:1,15:2,18:1,m:1:9.10|",,C16H20N2O3,288.347,288.147393,70,,,,1,4/429,1.0,429
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3042421,S-tert-Butyl O-ethyl ethylphosphonothioate,83318-76-7,WOHOOQZHIVDEMO-UHFFFAOYSA-N,S-tert-Butyl O-ethyl ethylphosphonothioate,CCOP(=O)(CC)SC(C)(C)C,"InChI=1S/C8H19O2PS/c1-6-10-11(9,7-2)12-8(3,4)5/h6-7H2,1-5H3",C8H19O2PS,210.27,210.084338,17,,19,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID70894958,Zonix Biosurfactant,147858-26-2,,,,,,, ,11,,,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1058131,Coumithoate,572-48-5,NSMRHYDOKZAMKJ-UHFFFAOYSA-N,"O,O-Diethyl O-(6-oxo-7,8,9,10-tetrahydro-6H-dibenzo[b,d]pyran-3-yl) phosphorothioate",CCOP(=S)(OCC)OC1=CC=C2C3=C(CCCC3)C(=O)OC2=C1,"InChI=1S/C17H21O5PS/c1-3-19-23(24,20-4-2)22-12-9-10-14-13-7-5-6-8-15(13)17(18)21-16(14)11-12/h9-11H,3-8H2,1-2H3",C17H21O5PS,368.38,368.084732,33,,23,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID9034282,4-Chlorophenoxyacetic acid,122-88-3,SODPIMGUZLOIPE-UHFFFAOYSA-N,(4-Chlorophenoxy)acetic acid,OC(=O)COC1=CC=C(Cl)C=C1,"InChI=1S/C8H7ClO3/c9-6-1-3-7(4-2-6)12-5-8(10)11/h1-4H,5H2,(H,10,11)",C8H7ClO3,186.59,186.008372,127,53,140,2,1,5/431,1.0,431
https://comptox.epa.gov/dashboard/chemical/details/DTXSID7020689,Hexachloroethane,67-72-1,VHHHONWQHHHLTI-UHFFFAOYSA-N,Hexachloroethane,ClC(Cl)(Cl)C(Cl)(Cl)Cl,"InChI=1S/C2Cl6/c3-1(4,5)2(6,7)8",C2Cl6,236.72,233.813116,189,75,130,35,1,0/235,0.0,235
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8034376,Denatonium benzoate,3734-33-6,VWTINHYPRWEBQY-UHFFFAOYSA-N,"N-Benzyl-2-(2,6-dimethylanilino)-N,N-diethyl-2-oxoethan-1-aminium benzoate",[O-]C(=O)C1=CC=CC=C1.CC[N+](CC)(CC(=O)NC1=C(C)C=CC=C1C)CC1=CC=CC=C1,"InChI=1S/C21H28N2O.C7H6O2/c1-5-23(6-2,15-19-13-8-7-9-14-19)16-20(24)22-21-17(3)11-10-12-18(21)4;8-7(9)6-4-2-1-3-5-6/h7-14H,5-6,15-16H2,1-4H3;1-5H,(H,8,9)",C28H34N2O3,446.591,446.256943,163,91,112,174,1,18/653,3.0,653
https://comptox.epa.gov/dashboard/chemical/details/DTXSID90896777,"(2-Hydroxyethyl)diethylammonium (2,4,5-trichlorophenoxy)acetate",53404-86-7,MCGYTQYRYWZUBC-UHFFFAOYSA-N,"(2,4,5-Trichlorophenoxy)acetic acid--2-(diethylamino)ethan-1-ol (1/1)",CCN(CC)CCO.OC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=C1,"InChI=1S/C8H5Cl3O3.C6H15NO/c9-4-1-6(11)7(2-5(4)10)14-3-8(12)13;1-3-7(4-2)5-6-8/h1-2H,3H2,(H,12,13);8H,3-6H2,1-2H3",C14H20Cl3NO4,372.67,371.045791,13,,4,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID30904683,4-Ethyl-4-methyloxazolidine,1192157-21-3,NGEUAKWVPMTVBT-UHFFFAOYSA-N,"4-Ethyl-4-methyl-1,3-oxazolidine",CCC1(C)COCN1,"InChI=1/C6H13NO/c1-3-6(2)4-8-5-7-6/h7H,3-5H2,1-2H3",C6H13NO,115.176,115.099714,5,,8,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2042513,Xylachlor,63114-77-2,UDRNNGBAXFCBLJ-UHFFFAOYSA-N,"2-Chloro-N-(2,3-dimethylphenyl)-N-(propan-2-yl)acetamide",CC(C)N(C(=O)CCl)C1=C(C)C(C)=CC=C1,"InChI=1S/C13H18ClNO/c1-9(2)15(13(16)8-14)12-7-5-6-10(3)11(12)4/h5-7,9H,8H2,1-4H3",C13H18ClNO,239.74,239.107692,25,1,22,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID90895109,"Methylmercury 2,3-dihydroxypropylmercaptide",2597-95-7,SGPCGQHSTZVQMA-UHFFFAOYSA-M,"Methyl[3-(sulfanyl-kappaS)propane-1,2-diolato]mercury",C[Hg]SCC(O)CO,"InChI=1S/C3H8O2S.CH3.Hg/c4-1-3(5)2-6;;/h3-6H,1-2H2;1H3;/q;;+1/p-1",C4H10HgO2S,322.77,324.010794,12,,11,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID7041330,"2,4,5-T-3-butoxypropyl",1928-48-9,ISEZZVFHNHWUQW-UHFFFAOYSA-N,"3-Butoxypropyl (2,4,5-trichlorophenoxy)acetate",CCCCOCCCOC(=O)COC1=C(Cl)C=C(Cl)C(Cl)=C1,"InChI=1S/C15H19Cl3O4/c1-2-3-5-20-6-4-7-21-15(19)10-22-14-9-12(17)11(16)8-13(14)18/h8-9H,2-7,10H2,1H3",C15H19Cl3O4,369.66,368.034892,17,,16,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1020930,(-)-Nicotine,54-11-5,SNICXCGAKADSCV-JTQLQIEISA-N,3-[(2S)-1-Methylpyrrolidin-2-yl]pyridine,CN1CCC[C@H]1C1=CN=CC=C1,"InChI=1S/C10H14N2/c1-12-7-3-5-10(12)9-4-2-6-11-8-9/h2,4,6,8,10H,3,5,7H2,1H3/t10-/m0/s1",C10H14N2,162.236,162.115698,260,22837,195,5,1,28/945,3.0,945
https://comptox.epa.gov/dashboard/chemical/details/DTXSID7032688,Phenothrin,26002-80-2,SBNFWQZLDJGRLK-UHFFFAOYSA-N,"(3-Phenoxyphenyl)methyl 2,2-dimethyl-3-(2-methylprop-1-en-1-yl)cyclopropane-1-carboxylate",CC(C)=CC1C(C(=O)OCC2=CC=CC(OC3=CC=CC=C3)=C2)C1(C)C,"InChI=1/C23H26O3/c1-16(2)13-20-21(23(20,3)4)22(24)25-15-17-9-8-12-19(14-17)26-18-10-6-5-7-11-18/h5-14,20-21H,15H2,1-4H3",C23H26O3,350.458,350.188195,172,73,134,48,1,55/666,8.0,666
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4028414,"Castor oil, sulfated, sodium salt",68187-76-8,,,,,,, ,58,,,4,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID0023113,2-Methoxyphenol,90-05-1,LHGVFZTZFXWLCP-UHFFFAOYSA-N,2-Methoxyphenol,COC1=C(O)C=CC=C1,"InChI=1S/C7H8O2/c1-9-7-5-3-2-4-6(7)8/h2-5,8H,1H3",C7H8O2,124.139,124.052429,199,1091,246,2,1,4/435,1.0,435
https://comptox.epa.gov/dashboard/chemical/details/DTXSID80904794,"N-[1-[4-(1,1-Dimethylethyl)-2-ethoxyphenyl]-2-hydroxyethyl]-2,6-difluorobenzamide",153281-82-4,AIVPNFIVSJEWBU-UHFFFAOYSA-N,"N-[1-(4-tert-Butyl-2-ethoxyphenyl)-2-hydroxyethyl]-2,6-difluorobenzamide",CCOC1=C(C=CC(=C1)C(C)(C)C)C(CO)NC(=O)C1=C(F)C=CC=C1F,"InChI=1/C21H25F2NO3/c1-5-27-18-11-13(21(2,3)4)9-10-14(18)17(12-25)24-20(26)19-15(22)7-6-8-16(19)23/h6-11,17,25H,5,12H2,1-4H3,(H,24,26)",C21H25F2NO3,377.432,377.180250,9,,9,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4058106,Cyperquat,48134-75-4,FMGYKKMPNATWHP-UHFFFAOYSA-N,1-Methyl-4-phenylpyridin-1-ium,C[N+]1=CC=C(C=C1)C1=CC=CC=C1,"InChI=1S/C12H12N/c1-13-9-7-12(8-10-13)11-5-3-2-4-6-11/h2-10H,1H3/q+1",C12H12N,170.234,170.096426,35,1528,41,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5028740,"Alcohols, C6-12",68603-15-6,,,,,,, ,56,3562,,9,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2034205,Azafenidin,68049-83-2,XOEMATDHVZOBSG-UHFFFAOYSA-N,"2-{2,4-Dichloro-5-[(prop-2-yn-1-yl)oxy]phenyl}-5,6,7,8-tetrahydro[1,2,4]triazolo[4,3-a]pyridin-3(2H)-one",ClC1=CC(Cl)=C(C=C1OCC#C)N1N=C2CCCCN2C1=O,"InChI=1S/C15H13Cl2N3O2/c1-2-7-22-13-9-12(10(16)8-11(13)17)20-15(21)19-6-4-3-5-14(19)18-20/h1,8-9H,3-7H2",C15H13Cl2N3O2,338.19,337.038482,66,,30,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3027908,Bis[omega-hydrogenpoly(oxyethylene)]oleylamine,26635-93-8,,,"CCCCCCCC\C=C/CCCCCCCCN(CCOCCO)CCOCCO |lp:18:1,21:2,24:2,27:2,30:2,Sg:n:27,28,29::eu,Sg:n:21,22,23::eu|","InChI=1S/C26H53NO4/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-27(19-23-30-25-21-28)20-24-31-26-22-29/h9-10,28-29H,2-8,11-26H2,1H3/b10-9-",(C2H4O)n(C2H4O)nC22H45NO2,, ,55,,,7,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID6095530,"Rosin, polymd.",65997-05-9,,,,,,, ,55,,,21,3, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2044505,Phenyl(propanoato-kO)mercury,103-27-5,OOCYPIXCHKROMD-UHFFFAOYSA-M,Phenyl(propanoato-kappaO)mercury,CCC(=O)O[Hg]C1=CC=CC=C1,"InChI=1S/C6H5.C3H6O2.Hg/c1-2-4-6-5-3-1;1-2-3(4)5;/h1-5H;2H2,1H3,(H,4,5);/q;;+1/p-1",C9H10HgO2,350.77,352.038723,40,,22,3,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8041874,Dimethirimol,5221-53-4,CJHXCRMKMMBYJQ-UHFFFAOYSA-N,5-Butyl-2-(dimethylamino)-6-methylpyrimidin-4-ol,CCCCC1=C(O)N=C(N=C1C)N(C)C,"InChI=1S/C11H19N3O/c1-5-6-7-9-8(2)12-11(14(3)4)13-10(9)15/h5-7H2,1-4H3,(H,12,13,15)",C11H19N3O,209.293,209.152812,77,,44,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID30904587,"Alkyl* dimethyl ammonium bromide *(67%C16, 30%C14, 3%C12-C18)",NOCAS_904587,,,,,,, ,1,,,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID60897175,5-Chloro-2-methyl-4-isothiazolin-3-one calcium chloride,57373-19-0,NHBYWABPZRNREG-UHFFFAOYSA-L,,CN1SC(Cl)=C\C1=[O+]/[Ca](Cl)Cl,"InChI=1S/C4H4ClNOS.Ca.2ClH/c1-6-4(7)2-3(5)8-6;;;/h2H,1H3;;2*1H/q;+3;;/p-2",C4H4CaCl3NOS,260.57,258.869960,11,,,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5024394,Acetic acid,64-19-7,QTBSBXVTEAMEQO-UHFFFAOYSA-N,Acetic acid,CC(O)=O,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",C2H4O2,60.052,60.021129,304,8651,7047,2539,1,19/841,2.0,841
https://comptox.epa.gov/dashboard/chemical/details/DTXSID6041840,Demeton-O-methyl,867-27-6,ZVZQKNVMDKSGGF-UHFFFAOYSA-N,"O-[2-(Ethylsulfanyl)ethyl] O,O-dimethyl phosphorothioate",CCSCCOP(=S)(OC)OC,"InChI=1S/C6H15O3PS2/c1-4-12-6-5-9-10(11,7-2)8-3/h4-6H2,1-3H3",C6H15O3PS2,230.28,230.020024,51,,26,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID00904039,Phthalic glycerol alkyd resin,NOCAS_904039,,,,,,, ,1,,,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3021641,Nonanoic acid,112-05-0,FBUKVWPVBMHYJY-UHFFFAOYSA-N,Nonanoic acid,CCCCCCCCC(O)=O,"InChI=1S/C9H18O2/c1-2-3-4-5-6-7-8-9(10)11/h2-8H2,1H3,(H,10,11)",C9H18O2,158.241,158.130680,238,94,229,14,1,21/869,2.0,869
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4034520,"Dialkyl* methyl benzyl ammonium chloride *(60%C14, 30%C16, 5%C18, 5%C12)",NOCAS_34520,,,,,,, ,17,,,644,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID90895003,"N,N,N-Trimethyl-2-[(phenylsulfonyl)oxy]ethanaminium methyl sulfate",22232-15-1,ASLWLAWDYALGFH-UHFFFAOYSA-M,"2-[(Benzenesulfonyl)oxy]-N,N,N-trimethylethan-1-aminium methyl sulfate",COS([O-])(=O)=O.C[N+](C)(C)CCOS(=O)(=O)C1=CC=CC=C1,"InChI=1S/C11H18NO3S.CH4O4S/c1-12(2,3)9-10-15-16(13,14)11-7-5-4-6-8-11;1-5-6(2,3)4/h4-8H,9-10H2,1-3H3;1H3,(H,2,3,4)/q+1;/p-1",C12H21NO7S2,355.42,355.075944,9,,1,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID70897085,Pseudomonas,68602-93-7,,,,,,, ,20,,,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID2058207,Sedaxane,874967-67-6,XQJQCBDIXRIYRP-UHFFFAOYSA-N,"N-{2-[[1,1'-Bi(cyclopropan)]-2-yl]phenyl}-3-(difluoromethyl)-1-methyl-1H-pyrazole-4-carboximidic acid",CN1C=C(C(=O)NC2=CC=CC=C2C2CC2C2CC2)C(=N1)C(F)F,"InChI=1/C18H19F2N3O/c1-23-9-14(16(22-23)17(19)20)18(24)21-15-5-3-2-4-11(15)13-8-12(13)10-6-7-10/h2-5,9-10,12-13,17H,6-8H2,1H3,(H,21,24)",C18H19F2N3O,331.367,331.149619,64,4,28,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID4042412,Sodium oleylsulfonate,15075-85-1,HDRLZNWDSGYGBZ-KVVVOXFISA-M,Sodium (9Z)-octadec-9-ene-1-sulfonate,[Na+].CCCCCCCC\C=C/CCCCCCCCS([O-])(=O)=O,"InChI=1S/C18H36O3S.Na/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18-22(19,20)21;/h9-10H,2-8,11-18H2,1H3,(H,19,20,21);/q;+1/p-1/b10-9-;",C18H35NaO3S,354.52,354.220460,19,,15,,2, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID1034214,1-Hydroxyvitamin D2,54573-75-0,HKXBNHCUPKIYDM-CGMHZMFXSA-N,"(1S,3R,5Z,7E,22E)-9,10-Secoergosta-5,7,10,22-tetraene-1,3-diol",[H][C@@]1(CC[C@@]2([H])\C(CCC[C@]12C)=C\C=C1\C[C@@H](O)C[C@H](O)C1=C)[C@H](C)\C=C\[C@H](C)C(C)C,"InChI=1S/C28H44O2/c1-18(2)19(3)9-10-20(4)25-13-14-26-22(8-7-15-28(25,26)6)11-12-23-16-24(29)17-27(30)21(23)5/h9-12,18-20,24-27,29-30H,5,7-8,13-17H2,1-4,6H3/b10-9+,22-11+,23-12-/t19-,20+,24+,25+,26-,27-,28+/m0/s1",C28H44O2,412.658,412.334131,59,96,85,,1,27/79,34.0,79
https://comptox.epa.gov/dashboard/chemical/details/DTXSID5041986,Flurenol-butyl,2314-09-2,PSGPXWYGJGGEEG-UHFFFAOYSA-N,Butyl 9-hydroxy-9H-fluorene-9-carboxylate,CCCCOC(=O)C1(O)C2=C(C=CC=C2)C2=C1C=CC=C2,"InChI=1S/C18H18O3/c1-2-3-12-21-17(19)18(20)15-10-6-4-8-13(15)14-9-5-7-11-16(14)18/h4-11,20H,2-3,12H2,1H3",C18H18O3,282.339,282.125594,50,,52,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID6020430,"1,2-Dichlorobenzene",95-50-1,RFFLAFLAYFXFSW-UHFFFAOYSA-N,"1,2-Dichlorobenzene",ClC1=C(Cl)C=CC=C1,InChI=1S/C6H4Cl2/c7-5-3-1-2-4-6(5)8/h1-4H,C6H4Cl2,147.0,145.969006,260,151,265,197,1,15/853,2.0,853
https://comptox.epa.gov/dashboard/chemical/details/DTXSID9041996,Furaspor,586-84-5,JXUMCVDPMJWGSI-UHFFFAOYSA-N,2-(Methoxymethyl)-5-nitrofuran,COCC1=CC=C(O1)[N+]([O-])=O,"InChI=1S/C6H7NO4/c1-10-4-5-2-3-6(11-5)7(8)9/h2-3H,4H2,1H3",C6H7NO4,157.125,157.037508,36,,40,,1, ,,
https://comptox.epa.gov/dashboard/chemical/details/DTXSID8026307,"2,6-Dimethylaniline",87-62-7,UFFBMTHBGFGIHF-UHFFFAOYSA-N,"2,6-Dimethylaniline",CC1=CC=CC(C)=C1N,"InChI=1S/C8H11N/c1-6-4-3-5-7(2)8(6)9/h3-5H,9H2,1-2H3",C8H11N,121.183,121.089149,192,58,169,9,1,15/881,2.0,881
https://comptox.epa.gov/dashboard/chemical/details/DTXSID3027403,Tributyltin chloride,1461-22-9,GCTFWCDSFPMHHS-UHFFFAOYSA-M,Tributyl(chloro)stannane,CCCC[Sn](Cl)(CCCC)CCCC,"InChI=1S/3C4H9.ClH.Sn/c3*1-3-4-2;;/h3*1,3-4H2,2H3;1H;/q;;;;+1/p-1",C12H27ClSn,325.51,326.082331,141,1195,102,1,1,502/1115,45.0,1115
https://comptox.epa.gov/dashboard/chemical/details/DTXSID60895070,Silver caprylate,24927-67-1,ZYPJJPHRTZPKKY-UHFFFAOYSA-M,Silver(1+) octanoate,[Ag+].CCCCCCCC([O-])=O,"InChI=1S/C8H16O2.Ag/c1-2-3-4-5-6-7-8(9)10;/h2-7H2,1H3,(H,9,10);/q;+1/p-1",C8H15AgO2,251.074,250.012290,14,,5,,1, ,,
